iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,2012-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2012-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105.4834862719636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2012-01-04 12:00:00,0.0252210446976811,0.025311318260750993,0.018471359828147498,0.21901755224803465,0.7450346601360696,0.2292531854761134,17.03900579049243,0.08536407006293881,8.332944283374812E-5,0.6054022904276524,0.39798836309421715,0.09350952309993768,0.015214567437395177,0.0187907893590102,0.44402788025986295,0.04652560558217603,0.007187164444410775,0.022582279007945745,0.042539680566628414,9.547375340113447,0.09861345147350475,0.011110592377833082,0.18248453568567222,0.1641590023824838,0.1213485011266457,0.011923054445462128,0.013159107847496056,0.1946853549405802,0.006277484693475692,0.02183231402244201,0.018742180517357182,24.0661586789463,0.030088872983219217,0.23046146239720272,1517.6055337798496,0.17669313940872672,0.03280402399555218,0.07192719740599691,50.21142239005979,0.02478356512280392,0.029818052294009533,0.006069161086391323,0.10858520813260994,0.556571236927076,0.09848151318901799,0.1483958494464331,5.426220127600174,0.15144431823010107,0.051136501418976764,0.0033956747954752365,0.004527566393966981
4,2012-01-05 12:00:00,0.04224478885218051,0.042563848490618214,0.031057365009419267,0.3667469913808759,1.250527799452551,0.38341958220352573,42.7895137393049,0.14119678612893144,1.4021726113004355E-4,1.0143109349962776,0.665982384750078,0.1559632587865973,0.025586456967947147,0.03156698067922259,0.7441202155215745,0.07822056624641503,0.012090196258978793,0.03797511265007407,0.07150403013226667,23.833590877076844,0.1655849192749873,0.018677270284880216,0.3064244814188736,0.2751795596246972,0.20368853569644638,0.020053401089767903,0.022106058080855317,0.32669410966647316,0.010551379753905337,0.0366838866143112,0.03148300356442946,60.21587200197404,0.0505351674360098,0.3826954265320258,1950.7623944379438,0.2967946119489234,0.05513965263832611,0.12074199643174077,125.86219762406023,0.041590955660538345,0.05013246699418658,0.010203244830205842,0.18231906444292462,0.9336933643649168,0.16488155286217362,0.24910926091505448,13.627489004862287,0.25408912853396326,0.08595409363418628,0.005712698412412698,0.007610592577713347
5,2012-01-06 12:00:00,0.09808248335811026,0.10879343162671493,0.07454791691046828,0.8475928941209858,2.90956735582499,0.8871259277908001,77.88714938036381,0.3218110467862075,0.3900679834880459,2.3543640292343015,1.5361149732067707,0.3619917199616979,0.0645822712376849,0.07435066470782489,1.719111531800263,0.18817851014300674,0.031231635369130234,0.09133671133587609,0.16912446004789455,45.144968176356684,3.0363766180875382,0.043473967852095355,0.7098696581643273,0.6347196839403103,0.4725105027145826,0.047651825144346266,0.051275189498958054,0.7566426169274478,0.025397795460412678,0.0856726239797809,0.5174552434351876,112.74113900042681,0.11989107479052219,0.8686478287451282,2414.7592335692516,2.7469867324975374,0.13220605381622388,0.28121836796433247,229.35109714781487,0.6333192091097197,0.1233223989674906,0.024633003442851062,0.4237490952593703,2.1643369534569548,0.3836242862937395,0.5779479339515046,24.112971815793387,0.5896904037492916,0.20588700984571534,0.5338844727384731,0.018706338182139497
6,2012-01-07 12:00:00,0.14300112358534464,0.1697602369352502,0.11163915687916909,1.2313559927214166,4.255919568233548,1.2885395995965971,122.6021383194761,0.45816977655472624,1.3720325845611994,3.4326865020590276,2.227155649442735,0.525767368605415,0.09999580763328106,0.10979043575366165,2.4984432058961645,0.282215199936913,0.04907430514969399,0.13698921611408768,0.2506154995947213,74.2776583132291,9.8813913363632,0.06369222302377821,1.0354613491928495,0.9215867588098461,0.6896907809067572,0.0708830314272908,0.0748882459464796,1.1028768737162542,0.03809516802076864,0.1257644796142746,1.6688125490009658,183.36721619659534,0.17791134198346095,1.2369678173468808,2913.5387948636594,8.242650079343655,0.1977774063931284,0.41169332078195625,361.4079446297203,2.0267054615391107,0.1877397516674446,0.037029912706522033,0.6195296404638956,3.1559456604346185,0.5599387694637658,0.84373047998995,36.61990045705943,0.86069002336203,0.30778971776086933,1.8500077255345402,0.028455618082776125
7,2012-01-08 12:00:00,0.24055066692130928,0.3124529754921679,0.19466632760128866,2.060392176616934,7.1776569954370295,2.1584672116739982,177.61680454718038,0.8074812066766093,3.1798627105865176,5.7726028082484575,3.7187771273176247,0.8835129605893753,0.18211985039303108,0.18763588196969078,4.179760284220629,0.5673538045546467,0.09143017538909409,0.27785520242864437,0.4304228284089542,112.94481330050058,22.427614694147678,0.1237216365306735,1.7920593297819527,1.5393286648561881,1.1596485579817937,0.12289102977961511,0.12598792794445987,1.8509861973397554,0.06648917367523051,0.21327654066207602,3.786630828215073,274.99685911201334,0.30598584698146103,2.0273554509886926,3453.7010798271485,18.478739210433424,0.3440996514803445,0.6951149009056121,524.5894013995061,4.585633358265335,0.33446784812033337,0.0648648453583131,1.043970646670411,5.300753118222694,0.9436045559408753,1.490591603740583,51.07872911388177,1.4475341652295763,0.5349954392213199,4.244056359292191,0.05067239460257537
8,2012-01-09 12:00:00,0.3269692989241034,0.46712057144859365,0.275905574197748,2.7830822118781486,9.795402848232918,2.9174310335451152,243.5781349497231,1.2322142094785455,6.059550978356748,7.844696737426862,5.00967275481244,1.1967643974928603,0.26953958181492066,0.2600093665743142,5.647155700607523,1.0366903000803274,0.13851719073666985,0.5142073726692048,0.6000020855223311,162.36092662409754,41.97380266574906,0.2203216635424638,2.603373980139157,2.0764127578383405,1.5773269561608103,0.1734729356929487,0.1715945325467811,2.512029124283131,0.0942371683930198,0.2931955962342938,7.090928276553239,389.87704580687614,0.4266949890875959,2.662995803395088,4040.374953540803,34.37042905958512,0.4862300023903263,0.9498981455103186,720.9197659151391,8.565740926486093,0.48430225285327727,0.09232591641481709,1.4237821906611243,7.198593876275613,1.284628017263914,2.2547649805071366,67.46855783399417,1.9688748952407389,0.7552083034749602,7.985300526203374,0.07333559097452858
9,2012-01-10 12:00:00,0.4842323401963917,0.7473176752808062,0.4235579746806689,4.097816349828933,14.54567026280395,4.300678057808745,321.4882114107433,2.095373187050718,10.284953197745013,11.613437622591452,7.36202786844449,1.770091851721277,0.4277223815122348,0.3912924167042706,8.31988735852092,2.0202195129929743,0.22461177050050024,1.0132209045982012,0.9079123189018689,224.728833542745,70.50510583451415,0.4258689091034531,4.177920225069181,3.0529680068735074,2.335733093997355,0.2665768095876442,0.25448481116629623,3.7170762299259987,0.1444268072243715,0.4386916275985407,11.938602749736388,531.5483930394937,0.6449898675391164,3.83962833920255,4681.604328476852,58.00597511096323,0.7437739766972039,1.4121791152606376,954.1282085742343,14.390512930471534,0.7555575394761129,0.14210040486416298,2.116350575867913,10.645087071264243,1.9047000844179078,3.76769657598037,85.87390569078512,2.9154926983318994,1.1557827958506413,13.392285049301645,0.11440643706763953
10,2012-01-11 12:00:00,0.6311145416268089,1.065623345003555,0.5775505239479746,5.3006749828098005,19.035706773294056,5.568907763183798,412.298512051853,3.2433520302502523,16.150951077703635,15.130015841271696,9.498699422672521,2.2995120217033174,0.6045554087123832,0.5207193538723318,10.7877352639001,3.5710777847535913,0.32552395258020855,1.8112932868943847,1.2168695911847127,301.6421721199223,109.51765890738068,0.7535932654658863,6.099830743415393,3.944331063068481,3.0466267261189808,0.36493947454965153,0.3328083652828366,4.854816084781665,0.19631999017779303,0.5802176070276892,18.600274027142625,702.7696423804576,0.8622572394134433,4.8215925538904525,5383.678572476414,90.52527291511625,1.0091928030251232,1.8508224606161845,1227.215725418557,22.357472207392476,1.0482333491724458,0.1942087111938722,2.7817205169785884,13.856431385762455,2.4848620608830005,5.749948521070929,106.39296386247548,3.801663397243734,1.5730956512727177,20.778313276723782,0.15871922706008895
